printcount,,ref,fronttext,frontflavour,roleplaying,mechanical,religious,relicon,printrun,,,,
1,Cowl of the Dreamer,F053,Sleep Mask,,,"If you sleep with this item in your possession, see a ref in the morning",,,norm,BOG07,"If the person was aligned to Calista, then they get a dream-audience with them. If they were alinged to anyone else, they recieve ",,
1,Caged Bird,F054,Skeletal Bird in Cage,It doesn't move while you are looking.,,Once per meal you may feed this cage any items that will fit inside it. They are consumed and should be given to a ref. At the next meal new items of similar worth will be disgorged,,,norm,CRV07,,,
1,Master Crafted Armour,F055,Armour,This armour is unusually decorated and elegant. ,,If you identify as a townsfolk this amour can be worn without the relevant skills. If you identify as a farmer it grants 1 additional Vitality.,,,norm,ERD07,,,
1,Snake Skin,F056,Snake Skin,,,"While you have this item, once per meal you can restore all MIGHT or MANA when you become WOUNDED. ",,,norm,ERD07,,,
1,Cup of Ormr,F057,Ornate Cup,Previously used for religious ceremonies of Ormr,,"If you perform a rite using this cup, tell a ref. ",,,norm,ORM01,"If not devoted to Ormr take VENOM on the rites' completion. If devoted to Ormr, the rite targets an additional person. Benediction removes an additional mark, shedding skin allows another person to change skills, banishment creates additional oil and cleansing targets another person.",,
3,Ormr's Venom,F058,Venom,,,"If added to a potion, that potion's toxicity becomes 5. If you die due to Toxicity caused by this effect, see the Head Ref. ",,,norm,ORM02,"Dying to this triggers ORM04, an encounter that involves only Nathan and sees the player become a bad version of the soulless. ",,
1,Ormr's Heart,F059,Heart,The Preserved Heart of the Divine,,"If you consume this heart, once per meal you may injure yourself to bleed Serpent's Blood. In addition you gain +1 Vitality, Might and Mana. ",,,norm,ORM02,,,
2,Ormr's Fang,F060,Fang,A fang of the God Ormr,,"You may attach this item to a melee weapon, if you do while holding that weapon you may expend might to call VENOM. ",,,norm,ORM02,,,
1,Ashes of Ormr,F061,Some Ashes. ,,,"You may throw a pinch of these into the Eternal Fire during the preparation of a potion. If you do, tell a Ref. There are enough ashes to do this any number of times. ",,,norm,ORM03,"Has no effect except on P018, Black Viscous Mixture. In that case it changes the vision witnessed if the visionary is aligned to Ormr. If these conditions are fulfilled the visionary sees important moments from their life from an outside view and feel judged. If they OC know why they were not taken by Ormr they now know IC. If they don't know OC then you instead learn that you did nothing wrong and were simply left behind to fill a quota or apparently forgotten.",,
1,Snat,F062,A snake cat,Very cute. Very sharp.,,"This animal has one hit and will die if it takes damage and is not healed within 1 minute. It will become angry if you move faster than a walk, speak above a whisper, or engage in any physical exertion while holding it. While angry it deals 1 hit per minute to a person holding it. ",,,norm,GEN18,,,
1,Helm of Brilliance,F063,Golden helm,Intricately designed,,"While you wear this helm you may negate one VENOM or WEAKNESS per REFRESH while you are in an honourable duel, or if you believe the attacker has interupted such a duel in the last hour. ",,,norm,GEN20,,,
30,Blood Fruit,H001,Blood Fruit,,,Eating this fruit or drinking its juice you get a HEAL 2 after 5 minutes. ,,,micro,,1,,
30,Fang Leaf,H002 ,Fang Leaf,,,Chewing this herb allows you to call CLEAVE once in the next five minutes.,,,micro,,1,,
30,Lotus Blossom,H003,Lotus Blossom,,,Eating this fuit will make you feel lethargic and dulls pain. For five minutes you are able to communicate while WOUNDED.,,,micro,,1,,
30,Summer Root,H004,Summer Root,,,Chewing this root makes you feel engergised and more willing to take risks. ,,,micro,,1,,
,,,,,,,,,micro,,,,
20,Scarwood Bark,H005,Scarwood Bark,,,Applied as a poultice this bark acts as a HEAL 2. ,,,micro,,2,,
20,Bog Spice,H006,Bog Spice,,,When consumed you should see the refs for a vision. ,,,micro,,2,,
,,,,,,,,,micro,,,,
10,Serpent Vine,H007,Serpent Vine,,,When consumed this herb allows you to resist the next spell cast on you within 5 minutes.,,,micro,,3,,
10,Scale Petals,H008,Scale Petals,,,Eating this herb restores 1 Might and/or 1 Mana. This is NOT a REFRESH. ,,,micro,,3,,
,,,,,,,,,micro,,,,
3,Foxthorn,H009,Foxthorn,,,This herb is not familiar to you. It can be added to a potion along with exactly two other herbs by a character with the Apothecary skill. ,,,micro,Any potion made with it will have its effect changed to reflect the theme of travel in time and space. (See relevant Tab),X,,
,,,,,,,,,micro,,,,
50,Serpent's Blood,H010,Serpent's Blood,,,"If you have the relevant skill, you may use this to perform rites at the Fire",,,micro,,N/A,,
,,,,,,,,,micro,,,,
4,Pure Bog Spice,H011,Odd Bog Spice,,,"If you consume this or add it to a potion, see a ref.",,,micro,"Obtained on the Bog Witch encounter, if consumed there is used to participate in the encounter further. If consumed at the Bastion or somewhere that is not the right place, the player experiences visions once per hour, every hour; as well as an unpleasant cacophony of noise. Counts as Bog Spice when added to a potion but the resulting potion causes the additional effect of experiencing visions while you have any toxicity. ",N/A,,
,,,,,,,,,micro,,,,
100,A Soul,H012,______'s Soul,,,The Soul of ________ Sacrificed to _____________,,,micro,Need a fuck tonne,N/A,,
15,Snake Oil,H013,Snake Oil,,,"You may anoint a person with this to remove their religious alignment, or sprinkle it over some holy ground to deconsecrate it",,,micro,,N/a,,
1,Cryptographic Hash,H014,Cryptographic Hash,,,Li brx shuvrqdoob ghfrghg wklv odpplh brx pdb xvh lw dv Vhushqwv Eorrg. ,,,micro,Plaintext: If you personally decoded this lammie you may use it as Serpents Blood. ,n/a,,
1,Cryptographic Hash,H015,Cryptographic Hash,,,Fc vlr mboplkxiiv abzlaba qefp ixjjfb vlr jxv rpb fq xp Pbombkqp Yilla.,,,micro,Plaintext: If you personally decoded this lammie you may use it as Serpents Blood. ,n/a,,
1,Cryptographic Hash,H016,Cryptographic Hash,,,Nk dtz ujwxtsfqqd ijhtiji ymnx qfrrnj dtz rfd zxj ny fx Xjwujsyx Gqtti.,,,micro,Plaintext: If you personally decoded this lammie you may use it as Serpents Blood. ,n/a,,
10,wet,P001,Black Slimy Mixture,,,"You RESIST the next FLAME call made against you today, taking no damage from it. TOXICITY 1.",,,norm,,1,,
10,no weak,P002,Watery Green Concoction,,,When you drink this potion any WEAKEN effect is removed. TOXICITY 1.,,,norm,,1,,
10,no cleave,P003,Disgusting Violet Mixture,,,When you drink this potion any CLEAVE effect is removed. TOXICITY 1.,,,norm,,1,,
10,spicy mute,P004,Viscous Green Potion,,,For the rest of the day when you reach 0 hits you become MUTE. You may resist one MUTE per REFRESH as long as you have more than 0 hits. TOXICITY 1.,,,norm,,1,,
10,sac alchemist,P005,Sticky Black Brew,,,"Your religious alignment changes to ""The Experimental Alchemist."" TOXICITY 1.",,,norm,,1,,
10,venom cleave,P006,Viscous Red Elixir,,,When you drink this potion take a VENOM. For the rest of the day while you are VENOMED you may call CLEAVE once per REFRESH. TOXICITY 1. ,,,norm,,1,,
10,venom disarm,P007,Slimy Red Concoction,,,When you drink this potion take a VENOM. For the rest of the day while you are VENOMED you may call DISARM once per REFRESH. TOXICITY 1. ,,,norm,,1,,
10,one disarm,P008,Violet Watery Potion,,,For the rest of the day you may call DISARM once per REFRESH with a single handed weapon. TOXICITY 1.,,,norm,,1,,
10,your god,P009,Blue Watery Liquid,,,When you drink this potion you fall unconscious and you see a vision. See a ref for details. TOXICITY 2.,,,norm,Vision of what the being you are spritually aligned with is doing now. The deity may convey a message in the vision if it wishes. If they are unaligned then they get an out of body experience watching themselves.,1,,
10,soulless fuckery,P010,Violet Bright Elixir,,,When you drink this potion you must call MASS DETECT SOULESS. You will perceive any being that responds positively as looking like yourself until your next Meal. TOXICITY 1.,,,norm,,1,,
,,,,,,,,,norm,,,,
10,Snake's Blood Philtre,P011,Viscous Red Liquid,,,When you die you bleed two doses of Serpent's Blood. You are aware this will happen and that Ormr does not give the blood willingly. TOXICITY 1.,,,norm,,2,,
10,clear command,P012,Bright Red Elixir,,,When you drink this potion any COMMAND effect on you is removed. TOXICITY 1.,,,norm,,2,,
10,clear venom,P013,Orange Viscous Concoction,,,When you drink this potion any VENOM effect on you is removed. TOXICITY 1.,,,norm,,2,,
10,Loud Boy,P014,Disgusting Black Mixture,,,When you drink this potion any MUTE on you is removed. You become unable to speak at less than a normal conversational tone until the next REFRESH. TOXICITY 1.,,,norm,,2,,
10,fuck off,P015,Red Slimy Potion,,,"When you drink this you may call ""COMMAND Flee"" within 30 seconds. If you do not do this, you take a COMMAND Flee yourself which cannot be resisted. TOXICITY 2. ",,,norm,,2,,
10,big dad vision,P016,Watery Blue Liquid,,,When you drink this potion you fall unconscious and you see a vision. See a ref for details. TOXICITY 2.,,,norm,Vision of what the most powerful potential deity is doing now. In the case of a tie show one of the highest at random. The deity may convey a message in the vision if it wishes.,2,,
10,little baby vision,P017,Viscous Black Mixture,,,When you drink this potion you fall unconcious and you see a vision. See a ref for details. TOXICITY 2.,,,norm,Vision of what the weakest potential deity is doing now. In the case of a tie show one of the lowest at random. The deity may convey a message in the vision if it wishes.,2,,
10,see friend's god,P018,Black Viscous Mixture,,,When you drink this potion you name a character and then fall unconcious and you see a vision. See a ref for details. TOXICITY 2.,,,norm,Vision of what the entity the named character is aligned with is doing now. If the named character is unaligned then the vision is of the named character. ,2,,
10,die to alch,P019,Sticky Green Potion,,,"You gain spiritual alignment to ""The Experimental Alchemist"" indefinatey. Today, you must call RESIST to SACRIFICE and take a SLAY instead. Tell a ref if you die under this effect. TOXICITY 2.",,,norm,Soul goes to The Alchemist. ,2,,
10,two cleave,P020,Sticky Orange Mixture,,,For the rest of the day you may call CLEAVE twice per REFRESH with a single handed weapon. TOXICITY 2.,,,norm,,2,,
10,two weak,P021,Red Disgusting Brew,,,For the rest of the day you may call WEAKEN twice per REFRESH with a single handed weapon. TOXICITY 2.,,,norm,,2,,
,,,,,,,,,norm,,,,
10,all clean,P022,Sticky Orange Elixir,,,"When you drink this potion it removes all WEAKEN, CLEAVE, COMMAND, or VENOM affecting you. TOXICITY 2.",,,norm,,3,,
10,debuff damage,P023,Violet Disgusting Liquid,,,"Until the next REFRESH if you would take a WEAKEN, CLEAVE, COMMAND or VENOM you instead take a single point of damage. TOXICITY 3.",,,norm,,3,,
10,antitox,P024,Red Sticky Brew,,,This potion removes 3 points of TOXICITY five minutes after it is drunk. You cannot benefit from this potion again before your next meal. ,,,norm,,3,,
10,no sac,P025,Green Sticky Potion,,,"Today, you must call RESIST to SACRIFICE and take a SLAY instead. Tell a ref if you die under this effect. TOXICITY 2.",,,norm,Soul goes straight to the being they are aligned with. ,3,,
10,detox,P026,Watery Orange Potion,,,For the rest of the day when you receive a REFRESH that removes a VENOM you may also remove one point of TOXICITY.,,,norm,,3,,
10,one impale,P027,Viscous Green Brew,,,For the rest of the day you may call IMPALE once per REFRESH with a single handed weapon. TOXICITY 3.,,,norm,,3,,
10,find herb,P028,Watery Green Potion,,,For the rest of the day you may call MASS DETECT HERBS once per REFRESH. Tell a ref if you are under this potion whilst foraging. TOXICITY 3.,,,norm,Additional herbs if foraging.,3,,
10,find marks,P029,Watery Green Mixture,,,For the rest of the day you may call MASS DETECT MARK OF X once per MEAL. You can use this for any Mark that you have seen. TOXICITY 2. ,,,norm,,3,,
10,malchemist,P030,Green Watery Brew,,,You gain the Mark of Discovery (M003). See a ref. If you did not previously have this mark then you lose one TOXICITY.,,,norm,Mark: don't take venom or cleave from toxicity,3,,
10,not as I do,P031,Sticky Orange Brew,,,When you drink this you must immediatly call MASS COMMAND (any simple action). You take the same COMMAND and may not resist it in any way. TOXICITY 2. ,,,norm,,3,,
10,all reasonable people,P032,Green Sticky Elixir,,,"When you drink this you may call ""COMMAND Attack"" within 30 seconds. If you do not do this, you take a COMMAND Berserk yourself which cannot be resisted. TOXICITY 2. ",,,norm,,3,,
10,mark suppress,P033,Bright Green Liquid,,,When you drink this potion you choose a Mark that you have. That Mark is supressed until your next meal. At that time you gain another copy of that Mark. TOXICITY 3. ,,,norm,CHECK FOR INTERACTIONS. PISSES OFF THE TWINS.,3,,
10,weakdentify,P034,Bright Violet Brew,,,When you drink this potion you take a WEAKEN. Until your next meal while you are WEAKENED you may call IDENTIFY once per WEAKEN call used on you. TOXICITY 3.,,,norm,,3,,
10,silent but deadly,P035,Viscous Blue Elixir,,,"When you drink this potion you take a MUTE. While you are under this effect you gain +2 Might, +3 hits and the ability to spend Might to CLEAVE. If the MUTE is removed before the end of its duration you take an IMPALE. TOXICITY 2.",,,norm,,3,,
10,venom mana,P036,Blue shimmering potion,,,When you take this potion you take a VENOM. While you are under this VENOM effect you gain +5 mana. If this VENOM is removed by any method other than a REFRESH you take an IMPALE.,,,norm,,3,,
3,Alchemist's Suicide Brew,P037,Evernessent Brew,,,When drunk see a ref. There is enough of this brew for multiple people to drink. ,,,norm,If it does not have the Foxthorn added you just gain 5 Toxicity and no other effect. If the Foxthorn has been added then if this effect kills you your soul is immediatly removed. ,X,,
3,wet,PF01,Black Slimy Mixture with Sprinkles,,,"You RESIST the next FLAME call made against you today, taking no damage from it. This effect refreshes whenever you pass through the gate (either direction). TOXICITY 1.",,,norm,1,,,
3,no weak,PF02,Watery Green Concoction with Sprinkles,,,For the rest of the day WEAKEN expires on you whenever you pass through the gate (either direction). TOXICITY 1.,,,norm,1,,,
3,no cleave,PF03,Disgusting Violet Mixture with Sprinkles,,,For the rest of the day CLEAVE expires on you whenever you pass through the gate (either direction). TOXICITY 1.,,,norm,1,,,
3,spicy mute,PF04,Viscous Green Potion with Sprinkles,,,For the rest of the day when you reach 0 hits you become MUTE. As long as you are outside of the Bastion you are immune to MUTE. TOXICITY 1.,,,norm,1,,,
3,sac alchemist,PF05,Sticky Black Brew with Sprinkles,,,You lose your current religious alignment and are incapcitated for a minute with visions of missed oportunities and worlds that never were. TOXICITY 1.,,,norm,1,,,
3,venom cleave,PF06,Viscous Red Elixir with Sprinkles,,,When you drink this potion take a VENOM. For the rest of the day while you are VENOMED you may call CLEAVE while outside the Bastion. TOXICITY 1. ,,,norm,1,,,
3,venom disarm,PF07,Slimy Red Concoction with Sprinkles,,,When you drink this potion take a VENOM. For the rest of the day while you are VENOMED you may call DISARM while outside the Bastion. TOXICITY 1. ,,,norm,1,,,
3,one disarm,PF08,Violet Watery Potion with Sprinkles,,,For the rest of the day you may call DISARM once per REFRESH with a weapon you are not normally proficient with. TOXICITY 1.,,,norm,1,,,
3,your god,PF09,Blue Watery Liquid with Sprinkles,,,When you drink this potion you fall unconscious and you see a vision. See a ref for details. TOXICITY 2.,,,norm,1,Vision of what the being you are spritually aligned with would consider a good holiday destination. If the drinker is unaligned then they get a vision of being on a ship in a rough storm straining to see a distant horizon.,,
3,soulless fuckery,PF10,Violet Bright Elixir with Sprinkles,,,Until your next meal you gain the ability to call DETECT SOULLESS once per Refresh. At your next meal you may ask the refs for a vision of where one of the beings you have identified in this way was born. TOXICITY 1.,,,norm,1,,,
3,Snake's Blood Philtre,PF11,Viscous Red Liquid with Sprinkles,,,If you die today your body combusts with the flame of the Eternal Fire dealing MASS FLAME. In place of your soul all that is left two doses of Foxthorn (H009). You are aware that when you die you will be taken on as crew for the Guile Foxes vessel for eternity. TOXICITY 1,,,norm,2,,,
3,clear command,PF12,Bright Red Elixir with Sprinkles,,,When you drink this potion any COMMAND effect on you is replaced with a mild but persistent urge to explore and learn new things. TOXICITY 1.,,,norm,2,,,
3,clear venom,PF13,Orange Viscous Concoction with Sprinkles,,,When you drink this potion any VENOM effect on you is replaced by a mild but persistent urge to see new places and meet new people. TOXICITY 1.,,,norm,2,,,
3,Loud Boy,PF14,Disgusting Black Mixture with Sprinkles,,,When you drink this potion any MUTE on you is removed. You become unable to speak above a conspiritorial whisper while within the Bastion until the next REFRESH. TOXICITY 1.,,,norm,2,,,
3,fuck off,PF15,Red Slimy Potion with Sprinkles,,,"When you drink this you may call ""COMMAND: Dream Big"" within 30 seconds. If you do not do this, you take a ""COMMAND: Dream Big"" yourself which cannot be resisted. TOXICITY 2. ",,,norm,2,,,
3,big dad vision,PF16,Watery Blue Liquid with Sprinkles,,,When you drink this potion you fall unconscious and you see a vision. See a ref for details. TOXICITY 2.,,,norm,2,Vision of what the most powerful potential deity would make of the world if they won. ,,
3,little baby vision,PF17,Viscous Black Mixture with Sprinkles,,,When you drink this potion you fall unconcious and you see a vision. See a ref for details. TOXICITY 2.,,,norm,2,Vision of what the weakest potential deity would make of the world if they won.,,
3,see friend's god,PF18,Black Viscous Mixture with Sprinkles,,,When you drink this potion you name a character and then fall unconcious and you see a vision. See a ref for details. TOXICITY 2.,,,norm,2,Vision of what the entity the named character is aligned with would do with the world if they won. If the named character is unaligned then the vision is of the world of the Custodian Faith. ,,
3,die to alch,PF19,Sticky Green Potion with Sprinkles,,,"When you consume this potion you are beset by visions of missed opportunities and worlds that might have been. You awake from this vision certain that there is a way to escape this world. If you take a SACRIFICE under this effect your soul disappears seconds later, free of the cycle.  TOXICITY 2.",,,norm,2,Soul goes to the beyond ,,
3,two cleave,PF20,Sticky Orange Mixture with Sprinkles,,,For the rest of the day you may call CLEAVE three times per REFRESH. Each CLEAVE must be with a different weapon. TOXICITY 2.,,,norm,2,,,
3,two weak,PF21,Red Disgusting Brew with Sprinkles,,,For the rest of the day you may call WEAKEN three times per REFRESH. Each WEAKEN must be with a different weapon. TOXICITY 2.,,,norm,2,,,
1,,,,,,,,,norm,,,,
3,all clean,PF22,Sticky Orange Elixir with Sprinkles,,,"When you drink this potion it removes all WEAKEN, CLEAVE, COMMAND, or VENOM affecting you. TOXICITY 2. If drunk outside the Bastion you do not gain the TOXICITY until you pass back through the gate.",,,norm,3,,,
3,debuff damage,PF23,Violet Disgusting Liquid with Sprinkles,,,"Until the next REFRESH if you would take a WEAKEN, CLEAVE, COMMAND or VENOM you instead take a single point of damage. TOXICITY 3. If drunk outside the Bastion you do not gain the TOXICITY until you pass back through the gate.",,,norm,3,,,
3,antitox,PF24,Red Sticky Brew with Sprinkles,,,This potion removes 3 points of TOXICITY the next time you pass through the gate. ,,,norm,3,,,
3,no sac,PF25,Green Sticky Potion with Sprinkles,,,"When you drink this potion you are seized by a moment of doubt about your religious choices. Today, you must call RESIST to SACRIFICE and take a SLAY instead. Tell a ref if you die under this effect. TOXICITY 2.",,,norm,3,Soul goes straight to the being they are aligned with. ,,
3,detox,PF26,Watery Orange Potion with Sprinkles,,,For the rest of the day when you receive a REFRESH that removes a MUTE you may also remove one point of TOXICITY.,,,norm,3,,,
3,one impale,PF27,Viscous Green Brew with Sprinkles,,,For the rest of the day you may call IMPALE once per REFRESH with a weapon you don't own. TOXICITY 3.,,,norm,3,,,
3,find herb,PF28,Watery Green Potion with Sprinkles,,,"For the rest of the day you may call MASS DETECT one of the following once per REFRESH; FOXTHORN, HOLY WATER, BLESSED BEANS, or ETCHED BONES . Tell a ref if you are under this potion whilst foraging. TOXICITY 3.",,,norm,3,Gain one of the detection options of their choice when foraging.,,
3,find marks,PF29,Watery Green Mixture with Sprinkles,,,For the rest of the day you may call MASS DETECT MARK OF X once per MEAL. You can use this for any Mark that you have NOT seen. TOXICITY 2. ,,,norm,3,,,
3,malchemist,PF30,Green Watery Brew with Sprinkles,,,You gain the Mark of Transit (M043). See a ref. If you did not previously have this mark then you lose one TOXICITY.,,,norm,3,Mark: you can give away your travel token.,,
3,not as I do,PF31,Sticky Orange Brew with Sprinkles,,,"When you drink this you must immediatly call ""MASS COMMAND: BE FREE"". Each time you pass through a gate today (either way) you must call ""MASS COMMAND: BE FREE"". TOXICITY 2. ",,,norm,3,,,
3,all reasonable people,PF32,Green Sticky Elixir with Sprinkles,,,"Each time you leave the Bastion today you gain one use of ""MASS COMMAND: BESERK"", if you have not used this when you return you must call it upon exiting the gate on the Bastion side.  TOXICITY 2. ",,,norm,3,,,
3,mark suppress,PF33,Bright Green Liquid with Sprinkles,,,When you drink this potion you choose a Mark that you have. That Mark disapears and you gain two other marks. See a ref when drunk.  TOXICITY 2. ,,,norm,3,CHECK FOR INTERACTIONS. PISSES OFF THE TWINS. The marks gained are Mark of Discovery (M003) and Mark of the Visionary (M010). If you have one or both of these get the Mark of Transit (M043) instead.,,
3,weakdentify,PF34,Bright Violet Brew with Sprinkles,,,"For the rest of the day you can call IDENTIFY as often as you wish, but if you get a response you have already heard you take a WEAKEN. TOXICITY 2.",,,norm,3,,,
3,silent but deadly,PF35,Viscous Blue Elixir with Sprinkles,,,"When you drink this potion you take a MUTE. While you are under this effect you gain +2 Might, +3 hits and the ability to spend Might to call MUTE with a weapon. If the MUTE on you is removed before the end of its duration you take an IMPALE. TOXICITY 2.",,,norm,3,,,
3,venom mana,PF36,Blue Shimmering Potion with Sprinkles,,,When you take this potion you take a WEAKEN. For the rest of the day you may call WEAKEN on yourself at will. While you are WEAKENED you gain all the skills of the Banditry skill tree (but can't use the calls). ,,,norm,3,,,
3,Meat of Possiblity,HAPPY01,Mysterious Meat,,,Gain +1 Maximum Mana,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY02,Mysterious Meat,,,Gain +1 Maximum Might,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY03,Mysterious Meat,,,Gain +1  Maximum Vitality,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY04,Mysterious Meat,,,Take HEAL 2 after 5 minutes. ,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY05,Mysterious Meat,,,Call CLEAVE once in the next five minutes.,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY06,Mysterious Meat,,,For five minutes you are able to communicate while WOUNDED.,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY07,Mysterious Meat,,,You are immune to VENOM until the next REFRESH ,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY08,Mysterious Meat,,,HEAL 1,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY09,Mysterious Meat,,,HEAL 2,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY10,Mysterious Meat,,,HEAL 3,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY11,Mysterious Meat,,,"Until the next REFRESH, you may respond to IDENTIFY however you wish ",,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY12,Mysterious Meat,,,Restore 1 Mana,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY13,Mysterious Meat,,,Restore 1 Might,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY14,Mysterious Meat,,,Take REFRESH,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY15,Mysterious Meat,,,You may learn a  lesser spell of your choice,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY16,Mysterious Meat,,,"Your religious alignment becomes ""The Happy Pig"" until changed",,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY17,Mysterious Meat,,,You gain a Soul,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY18,Mysterious Meat,,,You gain a Serpent's Blood,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY19,Mysterious Meat,,,Lower your toxicity by one,,,norm,Given by Happy Pig,,,
3,Meat of Possiblity,HAPPY20,Mysterious Meat,,,"You gain a skill of your choice, you must meet all prerequsites for your skill",,,norm,Given by Happy Pig,,,